#M_p, a_p, am_o, am_f, em_o, max em, em_dot, sim_time, sim_time/P_p, stab_flag (0 = stable), done_flag (0 = done)
1.09,0.135,8.6519,20.8936,0.0000,0.1026,4.2101e-01,3.3300e+05,3.2196e+06,-1,0
1.25,0.142,8.6519,23.1727,0.0000,0.1108,4.3349e-01,6.7500e+05,6.0497e+06,-1,0
1.62,0.100,8.6519,17.6788,0.0000,0.0984,3.9221e-01,1.3800e+05,2.0929e+06,-1,0
1.18,0.088,8.6519,14.0626,0.0000,0.1125,4.6714e-01,2.7000e+04,4.9603e+05,-1,0
1.84,0.091,8.6519,16.9439,0.0000,0.0948,3.4815e-01,1.1100e+05,1.9392e+06,-1,0
1.83,0.126,8.6519,23.2456,0.0000,0.1010,4.4588e-01,9.1200e+05,9.7792e+06,-1,0
1.31,0.128,8.6519,21.1574,0.0000,0.0992,4.1775e-01,3.8900e+05,4.0738e+06,-1,0
1.75,0.089,8.6519,16.2678,0.0000,0.0960,3.2409e-01,8.1000e+04,1.4631e+06,-1,0
1.76,0.086,8.6519,15.7034,0.0000,0.0980,3.8454e-01,6.3000e+04,1.1980e+06,-1,0
1.39,0.146,8.6519,24.5932,0.0000,0.0993,4.5211e-01,1.1160e+06,9.5940e+06,-1,0
1.02,0.118,8.6519,18.1076,0.0000,0.0975,3.8029e-01,1.1300e+05,1.3370e+06,-1,0
1.96,0.118,8.6519,22.2072,0.0000,0.0914,4.4165e-01,7.0500e+05,8.3412e+06,-1,0
1.54,0.088,8.6519,15.3324,0.0000,0.1116,3.5640e-01,5.2000e+04,9.5531e+05,-1,0
1.57,0.098,8.6519,17.1812,0.0000,0.1114,3.9317e-01,1.1400e+05,1.7821e+06,-1,0
1.37,0.139,8.6519,23.2187,0.0000,0.1124,4.6246e-01,8.0000e+05,7.4034e+06,-1,0
1.13,0.098,8.6519,15.4788,0.0000,0.0934,3.9183e-01,4.4000e+04,6.8782e+05,-1,0
1.63,0.084,8.6519,14.9996,0.0000,0.0977,3.5890e-01,4.5000e+04,8.8646e+05,-1,0
1.40,0.094,8.6519,16.1356,0.0000,0.1102,3.2848e-01,6.9000e+04,1.1482e+06,-1,0
1.14,0.095,8.6519,15.0252,0.0000,0.1177,4.1092e-01,3.9000e+04,6.3877e+05,-1,0
1.10,0.129,8.6519,20.0271,0.0000,0.1022,4.0037e-01,2.5000e+05,2.5877e+06,-1,0
1.07,0.095,8.6519,14.7484,0.0000,0.0954,2.8497e-01,3.0000e+04,4.9136e+05,-1,0
1.97,0.104,8.6519,19.6063,0.0000,0.0962,4.2215e-01,3.0700e+05,4.3899e+06,-1,0
0.84,0.110,8.6519,15.7345,0.0000,0.1001,4.0362e-01,4.1000e+04,5.3896e+05,-1,0
1.81,0.105,8.6519,19.2940,0.0000,0.0955,4.0561e-01,2.6700e+05,3.7635e+06,-1,0
1.07,0.122,8.6519,18.9568,0.0000,0.1021,4.5964e-01,1.6300e+05,1.8345e+06,-1,0
0.80,0.168,8.6519,23.4749,0.0000,0.1051,4.3727e-01,6.3500e+05,4.4226e+06,-1,0
0.97,0.138,8.6519,20.6156,0.0000,0.0997,4.2633e-01,2.7300e+05,2.5539e+06,-1,0
1.91,0.175,8.6519,32.6570,0.0000,0.0794,4.7400e-01,6.4710e+06,4.2391e+07,-1,0
1.72,0.094,8.6519,17.0294,0.0000,0.0994,3.9979e-01,1.1000e+05,1.8305e+06,-1,0
1.08,0.180,8.6519,27.8405,0.0000,0.0921,4.4754e-01,2.2480e+06,1.4117e+07,-1,0
1.04,0.178,8.6519,27.1691,0.0000,0.1013,4.5303e-01,1.8760e+06,1.1980e+07,-1,0
1.27,0.141,8.6519,23.1321,0.0000,0.0990,4.3634e-01,6.8500e+05,6.2048e+06,-1,0
1.43,0.095,8.6519,16.4446,0.0000,0.0879,4.0431e-01,7.5000e+04,1.2284e+06,-1,0
1.61,0.082,8.6519,14.4993,0.0000,0.0852,3.4895e-01,3.4000e+04,6.9442e+05,-1,0
1.89,0.124,8.6519,23.1023,0.0000,0.1129,4.4698e-01,9.3100e+05,1.0225e+07,-1,0
