#M_p, a_p, am_o, am_f, em_o, max em, em_dot, sim_time, sim_time/P_p, stab_flag (0 = stable), done_flag (0 = done)
1.16,0.168,8.6519,26.5897,0.0000,0.0914,4.5765e-01,1.7040e+06,1.1868e+07,-1,0
0.80,0.100,8.6519,14.1324,0.0000,0.1063,3.3774e-01,2.0000e+04,3.0332e+05,-1,0
1.08,0.165,8.6519,25.5914,0.0000,0.1041,4.6803e-01,1.2770e+06,9.1375e+06,-1,0
1.45,0.178,8.6519,30.3453,0.0000,0.0808,4.7681e-01,4.3720e+06,2.7920e+07,-1,0
1.08,0.141,8.6519,21.8324,0.0000,0.1022,4.5915e-01,4.2800e+05,3.8769e+06,-1,0
1.07,0.155,8.6519,23.8492,0.0000,0.0970,4.4587e-01,8.1800e+05,6.4286e+06,-1,0
1.12,0.120,8.6519,18.8492,0.0000,0.1048,4.1720e-01,1.5600e+05,1.7998e+06,-1,0
1.57,0.159,8.6519,27.8303,0.0000,0.1007,4.5298e-01,2.8610e+06,2.1641e+07,-1,0
1.73,0.092,8.6519,16.8113,0.0000,0.1075,3.8872e-01,9.9000e+04,1.7014e+06,-1,0
1.24,0.151,8.6519,24.4168,0.0000,0.0991,4.4343e-01,9.8800e+05,8.0752e+06,-1,0
1.41,0.122,8.6519,20.6405,0.0000,0.1098,4.3392e-01,3.5900e+05,4.0403e+06,-1,0
1.33,0.112,8.6519,18.6068,0.0000,0.1011,4.0885e-01,1.6900e+05,2.1623e+06,-1,0
0.90,0.148,8.6519,21.5184,0.0000,0.0964,4.7575e-01,3.5100e+05,2.9565e+06,-1,0
1.62,0.147,8.6519,26.0778,0.0000,0.0918,4.5928e-01,1.8420e+06,1.5674e+07,-1,0
1.60,0.171,8.6519,30.1961,0.0000,0.0814,4.6526e-01,4.5920e+06,3.1144e+07,-1,0
1.63,0.114,8.6519,20.1809,0.0000,0.0974,4.4466e-01,3.5000e+05,4.3609e+06,-1,0
1.74,0.084,8.6519,15.9987,0.0000,0.1700,4.4902e-01,6.4000e+04,1.2607e+06,-1,0
1.40,0.139,8.6519,23.9043,0.0000,0.4211,5.5375e-01,6.2800e+05,5.8117e+06,-1,0
1.58,0.085,8.6519,14.9298,0.0000,0.0990,3.3459e-01,4.9000e+04,9.4827e+05,-1,0
1.42,0.116,8.6519,19.6226,0.0000,0.1105,4.5750e-01,2.5500e+05,3.0954e+06,-1,0
1.42,0.095,8.6519,16.0691,0.0000,0.0950,3.2803e-01,6.1000e+04,9.9910e+05,-1,0
1.87,0.149,8.6519,27.6242,0.0000,0.0905,4.4592e-01,3.0540e+06,2.5466e+07,-1,0
1.39,0.135,8.6519,22.6791,0.0000,0.0990,4.4153e-01,6.8500e+05,6.6230e+06,-1,0
1.91,0.136,8.6519,25.4137,0.0000,0.0908,4.2828e-01,1.7530e+06,1.6762e+07,-1,0
1.75,0.149,8.6519,27.1891,0.0000,0.3702,5.5565e-01,1.8940e+06,1.5793e+07,-1,0
1.85,0.155,8.6519,28.6242,0.0000,0.0898,4.5271e-01,3.9410e+06,3.0972e+07,-1,0
1.86,0.119,8.6519,22.0302,0.0000,0.0952,4.2069e-01,6.3900e+05,7.4652e+06,-1,0
1.57,0.179,8.6519,31.6079,0.0000,0.3796,5.8097e-01,4.9120e+06,3.1106e+07,-1,0
1.03,0.157,8.6519,23.8519,0.0000,0.1003,4.4928e-01,7.6600e+05,5.9053e+06,-1,0
1.75,0.088,8.6519,15.9886,0.0000,0.0966,3.6182e-01,7.4000e+04,1.3595e+06,-1,0
1.46,0.128,8.6519,21.9122,0.0000,0.0982,4.4758e-01,5.2400e+05,5.4876e+06,-1,0
1.00,0.090,8.6519,14.0319,0.0000,0.2142,3.1615e-01,2.1000e+04,3.7301e+05,-1,0
1.41,0.127,8.6519,21.4939,0.0000,0.0960,4.3322e-01,4.4800e+05,4.7472e+06,-1,0
0.96,0.165,8.6519,24.4864,0.0000,0.0963,4.5900e-01,8.5500e+05,6.1179e+06,-1,0
1.21,0.133,8.6519,21.5647,0.0000,0.0961,4.3922e-01,4.0800e+05,4.0341e+06,-1,0
1.30,0.083,8.6519,13.9363,0.0000,0.0979,2.5918e-01,2.2000e+04,4.4123e+05,-1,0
1.01,0.137,8.6519,20.7157,0.0000,0.0981,4.5209e-01,2.9500e+05,2.7900e+06,-1,0
1.51,0.108,8.6519,18.6529,0.0000,0.0993,4.0134e-01,1.8500e+05,2.4998e+06,-1,0
1.05,0.180,8.6519,27.5699,0.0000,0.3700,5.3579e-01,1.6160e+06,1.0148e+07,-1,0
1.92,0.101,8.6519,18.8849,0.0000,0.1192,3.9738e-01,2.5900e+05,3.8697e+06,-1,0
1.49,0.105,8.6519,18.0912,0.0000,0.1177,4.3424e-01,1.5700e+05,2.2130e+06,-1,0
1.29,0.114,8.6519,18.8221,0.0000,0.1092,3.9812e-01,1.8100e+05,2.2552e+06,-1,0
1.28,0.111,8.6519,18.2969,0.0000,0.1127,4.1372e-01,1.4600e+05,1.8934e+06,-1,0
1.58,0.097,8.6519,17.0277,0.0000,0.1065,4.6431e-01,1.0300e+05,1.6351e+06,-1,0
1.54,0.094,8.6519,16.3513,0.0000,0.1002,3.7773e-01,7.5000e+04,1.2481e+06,-1,0
1.42,0.118,8.6519,20.0729,0.0000,0.1030,4.4903e-01,2.8000e+05,3.3128e+06,-1,0
1.03,0.171,8.6519,26.3507,0.0000,0.3755,5.4244e-01,1.0820e+06,7.3383e+06,-1,0
1.39,0.172,8.6519,28.8981,0.0000,0.0935,4.6046e-01,3.4500e+06,2.3195e+07,-1,0
1.92,0.103,8.6519,19.3142,0.0000,0.0932,4.0343e-01,2.7800e+05,4.0332e+06,-1,0
1.43,0.139,8.6519,23.5944,0.0000,0.0978,4.4183e-01,8.9100e+05,8.2455e+06,-1,0
1.26,0.176,8.6519,28.6916,0.0000,0.0944,4.5348e-01,3.0250e+06,1.9648e+07,-1,0
1.82,0.087,8.6519,16.0041,0.0000,0.0939,3.8676e-01,7.5000e+04,1.4017e+06,-1,0
1.87,0.121,8.6519,22.4203,0.0000,0.3561,5.2643e-01,5.5300e+05,6.3010e+06,-1,0
2.00,0.122,8.6519,23.1315,0.0000,0.0972,4.3567e-01,9.6300e+05,1.0838e+07,-1,0
0.82,0.126,8.6519,17.9801,0.0000,0.1098,4.6754e-01,1.0000e+05,1.0723e+06,-1,0
1.61,0.162,8.6519,28.6131,0.0000,0.0954,4.5630e-01,3.4770e+06,2.5574e+07,-1,0
1.83,0.118,8.6519,21.7204,0.0000,0.1036,4.4780e-01,5.9200e+05,7.0043e+06,-1,0
1.38,0.082,8.6519,14.8885,0.0000,0.2414,2.5108e-01,2.8000e+04,5.7188e+05,-1,0
1.68,0.160,8.6519,28.6684,0.0000,0.0939,4.5707e-01,3.7420e+06,2.8041e+07,-1,0
1.06,0.081,8.6519,12.6000,0.0000,0.1078,2.7569e-01,9.5000e+03,1.9763e+05,-1,0
1.96,0.157,8.6519,29.5724,0.0000,0.0910,4.5622e-01,5.1640e+06,3.9811e+07,-1,0
0.87,0.114,8.6519,16.5815,0.0000,0.0953,4.5136e-01,5.9000e+04,7.3512e+05,-1,0
1.51,0.170,8.6519,29.3647,0.0000,0.0898,4.6484e-01,3.9640e+06,2.7122e+07,-1,0
1.27,0.162,8.6519,26.3997,0.0000,0.0991,4.6111e-01,1.7530e+06,1.2894e+07,-1,0
1.18,0.122,8.6519,19.5133,0.0000,0.1163,4.1847e-01,2.1600e+05,2.4310e+06,-1,0
1.01,0.088,8.6519,13.3882,0.0000,0.0807,3.5866e-01,1.4000e+04,2.5720e+05,-1,0
1.50,0.103,8.6519,17.8837,0.0000,0.1099,4.3324e-01,1.4100e+05,2.0456e+06,-1,0
0.89,0.105,8.6519,15.2391,0.0000,0.0935,3.1413e-01,3.4000e+04,4.7925e+05,-1,0
0.93,0.152,8.6519,22.3286,0.0000,0.1074,4.5827e-01,4.9300e+05,3.9897e+06,-1,0
1.30,0.179,8.6519,29.3874,0.0000,0.3427,5.6231e-01,2.7820e+06,1.7617e+07,-1,0
1.49,0.148,8.6519,25.4533,0.0000,0.0983,4.7065e-01,1.4970e+06,1.2609e+07,-1,0
1.71,0.138,8.6519,24.8488,0.0000,0.0962,4.4460e-01,1.4270e+06,1.3350e+07,-1,0
1.56,0.161,8.6519,28.1334,0.0000,0.0980,4.6451e-01,3.0310e+06,2.2501e+07,-1,0
1.46,0.166,8.6519,28.3942,0.0000,0.0935,4.6895e-01,3.0820e+06,2.1854e+07,-1,0
1.40,0.084,8.6519,14.4945,0.0000,0.0850,3.8073e-01,3.1000e+04,6.1067e+05,-1,0
1.82,0.156,8.6519,28.6972,0.0000,0.0972,4.6510e-01,3.9910e+06,3.1064e+07,-1,0
1.09,0.174,8.6519,26.9521,0.0000,0.0987,4.6827e-01,1.8020e+06,1.1907e+07,-1,0
1.66,0.142,8.6519,25.3137,0.0000,0.0949,4.5348e-01,1.5670e+06,1.4044e+07,-1,0
1.93,0.119,8.6519,22.3651,0.0000,0.1052,4.4623e-01,7.3100e+05,8.5401e+06,-1,0
1.71,0.090,8.6519,16.3776,0.0000,0.0922,4.2475e-01,8.2000e+04,1.4565e+06,-1,0
0.92,0.088,8.6519,12.9729,0.0000,0.1173,2.6800e-01,1.2000e+04,2.2046e+05,-1,0
1.32,0.159,8.6519,26.2439,0.0000,0.0987,4.4104e-01,1.6910e+06,1.2791e+07,-1,0
1.78,0.136,8.6519,24.8205,0.0000,0.0931,4.4372e-01,1.4410e+06,1.3779e+07,-1,0
1.77,0.107,8.6519,19.4841,0.0000,0.1026,4.3532e-01,2.9400e+05,4.0284e+06,-1,0
1.57,0.139,8.6519,24.4137,0.0000,0.3678,5.4615e-01,8.5400e+05,7.9031e+06,-1,0
1.09,0.147,8.6519,22.8037,0.0000,0.0967,4.6312e-01,5.7600e+05,4.9013e+06,-1,0
1.66,0.124,8.6519,22.0906,0.0000,0.0999,4.4589e-01,6.1800e+05,6.7877e+06,-1,0
1.85,0.098,8.6519,18.1631,0.0000,0.1122,4.1872e-01,1.7700e+05,2.7669e+06,-1,0
0.97,0.146,8.6519,21.7408,0.0000,0.0974,4.6931e-01,4.0400e+05,3.4731e+06,-1,0
1.93,0.130,8.6519,24.3857,0.0000,0.0958,4.5954e-01,1.3880e+06,1.4202e+07,-1,0
1.71,0.170,8.6519,30.7365,0.0000,0.3708,5.5645e-01,4.3590e+06,2.9825e+07,-1,0
1.66,0.166,8.6519,29.5889,0.0000,0.0885,4.5891e-01,4.4640e+06,3.1654e+07,-1,0
1.74,0.153,8.6519,28.3093,0.0000,0.4107,5.7007e-01,2.2600e+06,1.8111e+07,-1,0
1.54,0.178,8.6519,30.9489,0.0000,0.0767,4.6428e-01,4.7950e+06,3.0621e+07,-1,0
1.93,0.174,8.6519,32.6077,0.0000,0.0788,4.6579e-01,6.5080e+06,4.3002e+07,-1,0
1.92,0.152,8.6519,28.4636,0.0000,0.0940,4.6376e-01,3.8690e+06,3.1311e+07,-1,0
1.13,0.083,8.6519,13.0795,0.0000,0.1061,3.0239e-01,1.5000e+04,3.0084e+05,-1,0
1.86,0.154,8.6519,28.5105,0.0000,0.0911,4.4088e-01,3.7930e+06,3.0100e+07,-1,0
1.64,0.082,8.6519,14.6326,0.0000,0.1081,3.7466e-01,4.0000e+04,8.1696e+05,-1,0
1.88,0.090,8.6519,16.8203,0.0000,0.1025,3.5331e-01,1.0500e+05,1.8650e+06,-1,0
1.88,0.179,8.6519,33.3849,0.0000,0.0801,4.7329e-01,6.7360e+06,4.2657e+07,-1,0
1.29,0.113,8.6519,18.5098,0.0000,0.0977,3.9558e-01,1.6400e+05,2.0706e+06,-1,0
1.44,0.120,8.6519,20.4132,0.0000,0.0963,4.2447e-01,3.1500e+05,3.6341e+06,-1,0
1.56,0.124,8.6519,21.6940,0.0000,0.0964,4.4294e-01,5.2000e+05,5.7113e+06,-1,0
1.38,0.127,8.6519,21.3058,0.0000,0.1027,4.5071e-01,4.2300e+05,4.4823e+06,-1,0
1.57,0.112,8.6519,19.6801,0.0000,0.0963,4.5016e-01,2.7300e+05,3.4930e+06,-1,0
0.95,0.160,8.6519,23.6835,0.0000,0.0946,4.6462e-01,6.9500e+05,5.2080e+06,-1,0
0.97,0.109,8.6519,16.3227,0.0000,0.0940,3.9678e-01,5.8000e+04,7.7295e+05,-1,0
1.29,0.109,8.6519,17.8909,0.0000,0.0946,4.6570e-01,1.2300e+05,1.6392e+06,-1,0
1.90,0.156,8.6519,29.0560,0.0000,0.0934,4.5347e-01,4.4580e+06,3.4699e+07,-1,0
0.96,0.087,8.6519,13.1358,0.0000,0.0967,3.6244e-01,1.2000e+04,2.2427e+05,-1,0
1.02,0.157,8.6519,23.9241,0.0000,0.1014,4.4934e-01,7.7400e+05,5.9670e+06,-1,0
1.69,0.125,8.6519,22.4180,0.0000,0.0952,4.5973e-01,6.6500e+05,7.2164e+06,-1,0
0.94,0.083,8.6519,12.3372,0.0000,0.0878,2.1418e-01,7.8000e+03,1.5644e+05,-1,0
0.90,0.109,8.6519,15.9154,0.0000,0.0909,4.4805e-01,4.5000e+04,5.9970e+05,-1,0
1.55,0.135,8.6519,23.5978,0.0000,0.0967,4.4292e-01,9.1800e+05,8.8758e+06,-1,0
1.40,0.082,8.6519,14.0972,0.0000,0.1279,5.2944e-01,2.7000e+04,5.5145e+05,-1,0
1.93,0.155,8.6519,29.1174,0.0000,0.4065,5.6226e-01,3.3510e+06,2.6335e+07,-1,0
1.47,0.111,8.6519,19.0649,0.0000,0.0938,4.0908e-01,1.9800e+05,2.5677e+06,-1,0
1.04,0.085,8.6519,13.0440,0.0000,0.0893,2.9599e-01,1.3000e+04,2.5158e+05,-1,0
0.93,0.172,8.6519,25.2707,0.0000,0.1017,4.5609e-01,1.0990e+06,7.3887e+06,-1,0
1.50,0.088,8.6519,15.2188,0.0000,0.0920,4.6676e-01,4.6000e+04,8.4508e+05,-1,0
0.82,0.124,8.6519,17.4770,0.0000,0.0979,3.7474e-01,8.1000e+04,8.8964e+05,-1,0
1.48,0.123,8.6519,21.1155,0.0000,0.1011,4.3041e-01,4.2100e+05,4.6805e+06,-1,0
1.77,0.082,8.6519,14.9346,0.0000,0.0906,3.9018e-01,4.7000e+04,9.5993e+05,-1,0
1.47,0.115,8.6519,19.6677,0.0000,0.0964,4.4567e-01,2.6300e+05,3.2342e+06,-1,0
1.43,0.100,8.6519,17.0205,0.0000,0.0967,4.1885e-01,9.8000e+04,1.4862e+06,-1,0
1.77,0.091,8.6519,16.5815,0.0000,0.0879,3.2141e-01,9.1000e+04,1.5898e+06,-1,0
1.93,0.162,8.6519,30.4549,0.0000,0.0798,4.5366e-01,5.4940e+06,4.0409e+07,-1,0
1.31,0.154,8.6519,25.3923,0.0000,0.1020,4.4552e-01,1.3590e+06,1.0785e+07,-1,0
1.56,0.149,8.6519,25.9855,0.0000,0.0965,4.5449e-01,1.8150e+06,1.5134e+07,-1,0
1.54,0.155,8.6519,26.9253,0.0000,0.0954,4.5447e-01,2.2100e+06,1.7368e+07,-1,0
1.36,0.081,8.6519,13.5417,0.0000,0.1081,5.0959e-01,2.0000e+04,4.1607e+05,-1,0
1.98,0.106,8.6519,20.0835,0.0000,0.1061,4.0677e-01,3.8000e+05,5.2807e+06,-1,0
1.99,0.146,8.6519,27.8096,0.0000,0.3814,5.5025e-01,2.4340e+06,2.0925e+07,-1,0
1.66,0.138,8.6519,24.7179,0.0000,0.0962,4.5196e-01,1.3020e+06,1.2180e+07,-1,0
0.83,0.150,8.6519,21.2746,0.0000,0.1052,4.5756e-01,3.0500e+05,2.5178e+06,-1,0
1.99,0.134,8.6519,25.3544,0.0000,0.0979,4.4385e-01,1.8240e+06,1.7833e+07,-1,0
1.74,0.086,8.6519,15.6858,0.0000,0.0975,3.0502e-01,6.5000e+04,1.2360e+06,-1,0
0.82,0.086,8.6519,12.2968,0.0000,0.1217,3.3405e-01,7.1000e+03,1.3501e+05,-1,0
1.18,0.090,8.6519,14.5637,0.0000,0.1253,4.0058e-01,2.9000e+04,5.1511e+05,-1,0
1.60,0.104,8.6519,18.3179,0.0000,0.1025,4.3832e-01,1.6500e+05,2.3594e+06,-1,0
1.70,0.085,8.6519,15.2589,0.0000,0.0865,3.8862e-01,5.3000e+04,1.0257e+06,-1,0
1.17,0.158,8.6519,25.0357,0.0000,0.0988,4.7366e-01,1.1670e+06,8.9115e+06,-1,0
1.77,0.152,8.6519,27.6782,0.0000,0.0972,4.6370e-01,2.9670e+06,2.4011e+07,-1,0
1.95,0.108,8.6519,20.3587,0.0000,0.0984,3.9453e-01,4.0700e+05,5.4995e+06,-1,0
1.75,0.144,8.6519,26.1826,0.0000,0.0962,4.3778e-01,2.0640e+06,1.8115e+07,-1,0
1.26,0.140,8.6519,22.8171,0.0000,0.1035,4.2700e-01,6.3400e+05,5.8045e+06,-1,0
1.59,0.082,8.6519,14.6208,0.0000,0.0794,3.8429e-01,3.4000e+04,6.9442e+05,-1,0
1.06,0.148,8.6519,22.7327,0.0000,0.1036,4.5491e-01,5.6300e+05,4.7422e+06,-1,0
1.36,0.125,8.6519,20.8904,0.0000,0.0965,3.9044e-01,3.6400e+05,3.9500e+06,-1,0
0.84,0.107,8.6519,15.2259,0.0000,0.0911,4.2163e-01,3.5000e+04,4.7957e+05,-1,0
0.88,0.087,8.6519,12.6354,0.0000,0.1084,3.5824e-01,8.7000e+03,1.6259e+05,-1,0
1.04,0.141,8.6519,21.5790,0.0000,0.1013,4.4207e-01,3.8800e+05,3.5145e+06,-1,0
1.30,0.158,8.6519,26.0126,0.0000,0.0988,4.4490e-01,1.5490e+06,1.1829e+07,-1,0
1.30,0.168,8.6519,27.5712,0.0000,0.1070,4.5880e-01,2.3740e+06,1.6534e+07,-1,0
1.99,0.103,8.6519,19.5876,0.0000,0.0960,3.9750e-01,3.0400e+05,4.4104e+06,-1,0
1.01,0.090,8.6519,13.6175,0.0000,0.0994,2.0704e-01,1.6000e+04,2.8420e+05,-1,0
0.85,0.179,8.6519,25.6157,0.0000,0.1046,4.4115e-01,1.1250e+06,7.1242e+06,-1,0
1.56,0.096,8.6519,16.7440,0.0000,0.0965,4.1481e-01,9.6000e+04,1.5478e+06,-1,0
1.68,0.154,8.6519,27.5779,0.0000,0.0976,4.4641e-01,2.8420e+06,2.2553e+07,-1,0
1.95,0.166,8.6519,31.3152,0.0000,0.0796,4.6374e-01,5.9270e+06,4.2028e+07,-1,0
1.38,0.105,8.6519,17.6530,0.0000,0.0958,3.6165e-01,1.2300e+05,1.7337e+06,-1,0
1.12,0.123,8.6519,19.2583,0.0000,0.0908,4.2727e-01,1.8500e+05,2.0567e+06,-1,0
1.89,0.104,8.6519,19.3844,0.0000,0.0941,4.0229e-01,2.7400e+05,3.9180e+06,-1,0
1.10,0.173,8.6519,26.9228,0.0000,0.0917,4.5317e-01,1.8230e+06,1.2150e+07,-1,0
0.97,0.143,8.6519,21.4502,0.0000,0.0966,4.3854e-01,3.6000e+05,3.1927e+06,-1,0
0.88,0.081,8.6519,11.7929,0.0000,0.1183,3.6338e-01,5.4000e+03,1.1234e+05,-1,0
0.90,0.122,8.6519,17.7352,0.0000,0.0937,4.8291e-01,9.7000e+04,1.0917e+06,-1,0
1.77,0.080,8.6519,14.5749,0.0000,0.1011,4.4025e-01,4.0000e+04,8.4779e+05,-1,0
1.62,0.172,8.6519,30.3975,0.0000,0.0802,4.6351e-01,4.7610e+06,3.2009e+07,-1,0
0.97,0.160,8.6519,23.8819,0.0000,0.0974,4.3906e-01,7.3800e+05,5.5302e+06,-1,0
1.39,0.085,8.6519,14.8849,0.0000,0.2243,4.1438e-01,3.6000e+04,6.9669e+05,-1,0
1.91,0.174,8.6519,32.4660,0.0000,0.0814,4.7358e-01,6.4450e+06,4.2586e+07,-1,0
0.95,0.109,8.6519,16.1860,0.0000,0.1161,4.5987e-01,5.3000e+04,7.0632e+05,-1,0
1.95,0.171,8.6519,32.1521,0.0000,0.0787,4.5931e-01,6.3420e+06,4.3013e+07,-1,0
1.63,0.087,8.6519,15.4744,0.0000,0.1202,3.7891e-01,5.7000e+04,1.0653e+06,-1,0
1.25,0.110,8.6519,17.9839,0.0000,0.1044,3.8542e-01,1.2900e+05,1.6958e+06,-1,0
1.47,0.138,8.6519,23.5959,0.0000,0.0950,4.5892e-01,8.8100e+05,8.2418e+06,-1,0
1.32,0.160,8.6519,26.9734,0.0000,0.4156,5.5279e-01,1.3760e+06,1.0311e+07,-1,0
0.97,0.128,8.6519,19.2914,0.0000,0.1003,4.2868e-01,1.6800e+05,1.7594e+06,-1,0
1.20,0.107,8.6519,17.1116,0.0000,0.0899,4.2310e-01,8.5000e+04,1.1647e+06,-1,0
1.75,0.168,8.6519,30.5191,0.0000,0.0801,4.6476e-01,5.1010e+06,3.5527e+07,-1,0
1.31,0.119,8.6519,19.6364,0.0000,0.1059,4.6280e-01,2.4100e+05,2.8155e+06,-1,0
1.61,0.145,8.6519,25.5841,0.0000,0.0932,4.5051e-01,1.6440e+06,1.4280e+07,-1,0
1.74,0.101,8.6519,18.3415,0.0000,0.0980,4.3630e-01,1.8100e+05,2.7043e+06,-1,0
0.94,0.122,8.6519,18.1150,0.0000,0.1010,4.0549e-01,1.1600e+05,1.3055e+06,-1,0
1.26,0.177,8.6519,28.8060,0.0000,0.0901,4.6580e-01,3.1380e+06,2.0210e+07,-1,0
1.15,0.177,8.6519,27.9905,0.0000,0.0945,4.7670e-01,2.4070e+06,1.5502e+07,-1,0
1.46,0.086,8.6519,14.7454,0.0000,0.1206,4.3448e-01,3.9000e+04,7.4162e+05,-1,0
1.77,0.115,8.6519,20.9701,0.0000,0.1042,4.6626e-01,4.5400e+05,5.5831e+06,-1,0
1.00,0.138,8.6519,20.9890,0.0000,0.1023,4.4265e-01,3.0300e+05,2.8346e+06,-1,0
1.60,0.108,8.6519,19.0323,0.0000,0.1114,4.2496e-01,2.2600e+05,3.0538e+06,-1,0
1.92,0.090,8.6519,16.8602,0.0000,0.0971,4.0202e-01,1.1500e+05,2.0427e+06,-1,0
1.74,0.157,8.6519,28.4627,0.0000,0.0938,4.6944e-01,3.5590e+06,2.7437e+07,-1,0
1.96,0.081,8.6519,15.3665,0.0000,0.1218,3.5329e-01,6.4000e+04,1.3314e+06,-1,0
1.02,0.161,8.6519,24.4552,0.0000,0.0949,4.5941e-01,8.8100e+05,6.5404e+06,-1,0
1.02,0.120,8.6519,18.2222,0.0000,0.0902,4.1552e-01,1.2100e+05,1.3960e+06,-1,0
1.02,0.104,8.6519,15.8037,0.0000,0.1113,3.4494e-01,4.9000e+04,7.0066e+05,-1,0
1.20,0.163,8.6519,26.0786,0.0000,0.0978,4.4200e-01,1.5210e+06,1.1084e+07,-1,0
0.98,0.163,8.6519,24.4453,0.0000,0.0992,4.3928e-01,8.6900e+05,6.3329e+06,-1,0
1.15,0.146,8.6519,23.0681,0.0000,0.1097,4.3746e-01,6.4900e+05,5.5793e+06,-1,0
0.88,0.107,8.6519,15.4322,0.0000,0.1225,4.4158e-01,3.9000e+04,5.3438e+05,-1,0
1.99,0.130,8.6519,24.6329,0.0000,0.0981,4.4469e-01,1.4940e+06,1.5286e+07,-1,0
1.12,0.080,8.6519,12.6301,0.0000,0.3537,2.3130e-01,1.3000e+04,2.7553e+05,-1,0
1.10,0.172,8.6519,26.7899,0.0000,0.0965,4.6474e-01,1.7780e+06,1.1954e+07,-1,0
1.04,0.112,8.6519,17.0633,0.0000,0.0880,3.6414e-01,7.6000e+04,9.7241e+05,-1,0
0.84,0.108,8.6519,15.4174,0.0000,0.0984,4.0112e-01,3.5000e+04,4.7293e+05,-1,0
1.64,0.085,8.6519,15.0777,0.0000,0.0924,3.8539e-01,5.0000e+04,9.6762e+05,-1,0
1.75,0.131,8.6519,23.8006,0.0000,0.0944,4.3479e-01,1.0640e+06,1.0762e+07,-1,0
1.90,0.084,8.6519,15.6532,0.0000,0.1025,3.8486e-01,7.1000e+04,1.3986e+06,-1,0
1.62,0.096,8.6519,16.9930,0.0000,0.0903,3.9066e-01,9.8000e+04,1.5801e+06,-1,0
1.02,0.169,8.6519,25.5949,0.0000,0.0955,4.4990e-01,1.2400e+06,8.5596e+06,-1,0
1.61,0.173,8.6519,30.4953,0.0000,0.0792,4.5828e-01,4.7930e+06,3.1945e+07,-1,0
1.69,0.161,8.6519,28.8653,0.0000,0.0916,4.6698e-01,3.8680e+06,2.8715e+07,-1,0
1.23,0.080,8.6519,13.6771,0.0000,0.1276,3.7684e-01,1.6000e+04,3.3912e+05,-1,0
1.22,0.113,8.6519,18.1790,0.0000,0.0961,4.3356e-01,1.3000e+05,1.6413e+06,-1,0
0.98,0.148,8.6519,22.1763,0.0000,0.0983,4.3610e-01,4.4700e+05,3.7651e+06,-1,0
1.00,0.089,8.6519,13.3875,0.0000,0.1062,3.5758e-01,1.6000e+04,2.8900e+05,-1,0
1.08,0.132,8.6519,20.4689,0.0000,0.0977,4.2489e-01,2.7500e+05,2.7500e+06,-1,0
1.79,0.152,8.6519,27.7557,0.0000,0.1003,4.4740e-01,3.0800e+06,2.4926e+07,-1,0
1.75,0.086,8.6519,15.6747,0.0000,0.0973,3.5726e-01,6.5000e+04,1.2360e+06,-1,0
1.13,0.128,8.6519,20.2495,0.0000,0.1011,4.0374e-01,2.5400e+05,2.6600e+06,-1,0
1.06,0.104,8.6519,16.0712,0.0000,0.0896,3.6211e-01,5.3000e+04,7.5786e+05,-1,0
1.46,0.113,8.6519,19.3164,0.0000,0.1145,4.3812e-01,2.4100e+05,3.0427e+06,-1,0
1.78,0.172,8.6519,31.5217,0.0000,0.0776,4.6993e-01,5.5890e+06,3.7576e+07,-1,0
1.09,0.154,8.6519,23.8944,0.0000,0.1072,4.5503e-01,8.0300e+05,6.3723e+06,-1,0
1.34,0.154,8.6519,25.5772,0.0000,0.1060,4.3332e-01,1.4380e+06,1.1411e+07,-1,0
1.97,0.153,8.6519,28.8987,0.0000,0.0919,4.6584e-01,4.3780e+06,3.5083e+07,-1,0
1.56,0.178,8.6519,31.1486,0.0000,0.0805,4.6717e-01,4.9180e+06,3.1407e+07,-1,0
0.80,0.103,8.6519,14.4631,0.0000,0.0985,2.5576e-01,2.4000e+04,3.4819e+05,-1,0
1.28,0.099,8.6519,16.3116,0.0000,0.1050,3.6952e-01,6.8000e+04,1.0469e+06,-1,0
1.09,0.094,8.6519,14.7073,0.0000,0.0992,4.0843e-01,2.8000e+04,4.6594e+05,-1,0
0.98,0.180,8.6519,26.9578,0.0000,0.1012,4.3798e-01,1.7220e+06,1.0814e+07,-1,0
0.91,0.142,8.6519,20.7811,0.0000,0.0927,4.5940e-01,2.8400e+05,2.5454e+06,-1,0
1.26,0.106,8.6519,17.2302,0.0000,0.0913,3.9949e-01,9.8000e+04,1.3619e+06,-1,0
1.63,0.175,8.6519,31.0989,0.0000,0.0797,4.6558e-01,5.0540e+06,3.3109e+07,-1,0
1.37,0.170,8.6519,28.6417,0.0000,0.3792,5.5108e-01,2.2870e+06,1.5648e+07,-1,0
1.04,0.113,8.6519,17.3743,0.0000,0.1234,3.5974e-01,9.4000e+04,1.1868e+06,-1,0
1.23,0.156,8.6519,25.2998,0.0000,0.3765,5.2832e-01,9.4600e+05,7.3632e+06,-1,0
0.92,0.170,8.6519,24.9163,0.0000,0.1081,4.5807e-01,9.5700e+05,6.5479e+06,-1,0
1.90,0.174,8.6519,32.4663,0.0000,0.0788,4.6352e-01,6.3630e+06,4.2044e+07,-1,0
1.39,0.143,8.6519,24.0300,0.0000,0.0987,4.3732e-01,9.7800e+05,8.6736e+06,-1,0
1.45,0.110,8.6519,18.7604,0.0000,0.0996,4.2469e-01,1.8300e+05,2.4056e+06,-1,0
