#t (yr), a_m (R_p), e_m, a_p (AU), e_p, alpha (''/yr), spin_period (hr), obliquity (deg), phase (deg), i_p (deg), Omg_p (deg),S_x,S_y,S_z
0.00000e+00,8.6519,0.00000,0.3400,0.03000,1004.423272,5.000000,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.10156805e+04
1.00000e+02,8.7703,0.00092,0.3408,0.03120,993.779621,5.013707,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09855657e+04
2.00000e+02,8.8896,0.00099,0.3400,0.03083,997.844897,5.026412,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09577962e+04
3.00000e+02,8.9957,0.00040,0.3413,0.03092,984.113800,5.038262,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09320238e+04
4.00000e+02,9.0957,0.00045,0.3401,0.03165,991.710133,5.049372,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09079719e+04
5.00000e+02,9.1890,0.00023,0.3402,0.03207,988.380225,5.059834,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08854179e+04
6.00000e+02,9.2770,0.00044,0.3410,0.03066,978.931920,5.069725,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08641802e+04
7.00000e+02,9.3597,0.00121,0.3409,0.03270,978.392500,5.079108,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08441085e+04
8.00000e+02,9.4418,0.00067,0.3404,0.03276,980.027255,5.088038,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08250771e+04
9.00000e+02,9.5244,0.00053,0.3413,0.03353,970.265486,5.096558,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08069799e+04
1.00000e+04,12.4345,0.00141,0.3411,0.03209,905.316789,5.414369,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.01726359e+04
2.00000e+04,13.7132,0.00285,0.3411,0.03075,879.785909,5.552976,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.91871765e+03
3.00000e+04,14.5346,0.00070,0.3410,0.03224,863.832895,5.643364,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.75985246e+03
4.00000e+04,15.1819,0.00117,0.3412,0.03274,850.597952,5.711850,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.64283026e+03
5.00000e+04,15.6383,0.00408,0.3406,0.03225,845.424233,5.767562,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.54968528e+03
6.00000e+04,16.0560,0.00501,0.3407,0.03264,837.250314,5.814824,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.47206674e+03
7.00000e+04,16.4397,0.00454,0.3410,0.03290,828.442126,5.856048,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.40538738e+03
8.00000e+04,16.7718,0.00265,0.3410,0.03185,822.451252,5.892725,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.34684779e+03
9.00000e+04,17.1023,0.00465,0.3412,0.03094,816.171448,5.925843,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.29461019e+03
1.00000e+05,17.3152,0.00347,0.3405,0.03160,816.476209,5.956095,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.24740143e+03
1.10000e+05,17.6253,0.00609,0.3402,0.03189,813.972700,5.983985,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.20430213e+03
1.20000e+05,17.7695,0.00559,0.3407,0.03201,806.493458,6.009891,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.16462618e+03
1.30000e+05,18.0174,0.00429,0.3404,0.03208,805.202248,6.034106,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.12784762e+03
1.40000e+05,18.1679,0.00863,0.3408,0.03253,798.955131,6.056862,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.09355418e+03
1.50000e+05,18.4512,0.00013,0.3411,0.03080,793.167771,6.078343,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.06141656e+03
1.60000e+05,18.5569,0.00755,0.3409,0.03220,791.591750,6.098702,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.03116748e+03
1.70000e+05,18.7816,0.00180,0.3403,0.03078,793.566686,6.118063,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.00258761e+03
1.80000e+05,18.9611,0.00049,0.3402,0.03237,791.116191,6.136529,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.97549727e+03
1.90000e+05,19.1020,0.00199,0.3403,0.03301,788.382677,6.154187,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.94974526e+03
2.00000e+05,19.2615,0.00734,0.3402,0.03118,786.167286,6.171111,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.92520104e+03
2.10000e+05,19.4026,0.00705,0.3402,0.03150,783.842684,6.187367,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.90175168e+03
2.20000e+05,19.5185,0.00790,0.3411,0.03080,775.609101,6.203012,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.87929912e+03
2.30000e+05,19.5396,0.00933,0.3407,0.03134,776.472636,6.218098,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.85775778e+03
2.40000e+05,19.7872,0.00315,0.3402,0.03087,777.364029,6.232667,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.83705261e+03
2.50000e+05,19.9114,0.00811,0.3402,0.03269,775.445485,6.246758,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.81711747e+03
2.60000e+05,19.9323,0.00751,0.3405,0.03278,771.989156,6.260408,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.79789378e+03
2.70000e+05,19.9988,0.01172,0.3407,0.03209,768.983965,6.273646,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.77932944e+03
2.80000e+05,20.2550,0.00342,0.3411,0.03196,763.966251,6.286500,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.76137788e+03
2.90000e+05,20.2364,0.00459,0.3405,0.03230,766.240757,6.298996,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.74399737e+03
3.00000e+05,20.3997,0.00628,0.3410,0.03196,761.415688,6.311155,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.72715029e+03
3.10000e+05,20.5140,0.00595,0.3411,0.03296,759.531268,6.323000,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.71080269e+03
3.20000e+05,20.6319,0.00790,0.3403,0.03308,763.101982,6.334547,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.69492378e+03
3.30000e+05,20.6182,0.00842,0.3405,0.03158,760.033040,6.345814,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.67948555e+03
3.40000e+05,20.7782,0.00803,0.3404,0.03103,759.781253,6.356817,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.66446247e+03
3.50000e+05,20.8397,0.00831,0.3404,0.03175,757.969350,6.367570,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.64983118e+03
3.60000e+05,21.0168,0.00617,0.3411,0.03081,751.952688,6.378085,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.63557027e+03
3.70000e+05,21.1272,0.00699,0.3412,0.03286,750.340930,6.388376,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.62166005e+03
