#t (yr), a_m (R_p), e_m, a_p (AU), e_p, alpha (''/yr), spin_period (hr), obliquity (deg), phase (deg), i_p (deg), Omg_p (deg),S_x,S_y,S_z
6.10000e+03,11.0767,0.00653,0.1700,0.03187,7677.258079,5.193171,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06059288e+04
6.20000e+03,11.0675,0.00594,0.1703,0.03039,7642.727028,5.194977,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06022412e+04
6.30000e+03,11.0980,0.00600,0.1703,0.03125,7635.825526,5.196765,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05985943e+04
6.40000e+03,11.1028,0.00426,0.1703,0.03154,7637.712850,5.198534,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05949871e+04
6.50000e+03,11.1527,0.00352,0.1703,0.03172,7627.194581,5.200286,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05914187e+04
6.60000e+03,11.1327,0.00700,0.1702,0.03064,7644.309970,5.202020,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05878881e+04
6.70000e+03,11.1580,0.00675,0.1702,0.03059,7634.723291,5.203737,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05843945e+04
6.80000e+03,11.1777,0.00232,0.1702,0.03132,7636.665003,5.205437,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05809370e+04
6.90000e+03,11.2229,0.00320,0.1703,0.03042,7619.571804,5.207121,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05775148e+04
7.00000e+03,11.2413,0.00454,0.1701,0.03126,7643.478739,5.208789,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05741272e+04
7.10000e+03,11.2720,0.00206,0.1703,0.03114,7611.083715,5.210442,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05707732e+04
7.20000e+03,11.2829,0.00694,0.1701,0.03089,7638.269571,5.212080,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05674523e+04
7.30000e+03,11.3326,0.00390,0.1700,0.03014,7641.991598,5.213702,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05641636e+04
7.40000e+03,11.2940,0.00309,0.1702,0.03132,7616.118151,5.215310,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05609066e+04
7.50000e+03,11.3181,0.00548,0.1702,0.03062,7611.620077,5.216904,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05576804e+04
7.60000e+03,11.3864,0.00587,0.1703,0.03039,7594.652522,5.218483,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05544846e+04
7.70000e+03,11.4092,0.00682,0.1700,0.03184,7630.409237,5.220049,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05513183e+04
7.80000e+03,11.3737,0.00487,0.1702,0.03075,7607.809483,5.221602,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05481811e+04
7.90000e+03,11.4193,0.00442,0.1703,0.03113,7591.095204,5.223141,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05450724e+04
8.00000e+03,11.4594,0.00671,0.1703,0.03124,7584.548054,5.224668,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05419917e+04
8.10000e+03,11.4835,0.00266,0.1700,0.03017,7619.800910,5.226181,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05389383e+04
8.20000e+03,11.5005,0.00510,0.1700,0.03023,7617.049521,5.227682,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05359120e+04
8.30000e+03,11.5200,0.00050,0.1703,0.03104,7576.240575,5.229171,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05329121e+04
8.40000e+03,11.5146,0.00457,0.1703,0.03089,7577.789458,5.230648,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05299383e+04
8.50000e+03,11.5416,0.00186,0.1701,0.03162,7606.381879,5.232113,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05269901e+04
8.60000e+03,11.5497,0.00140,0.1703,0.03057,7573.516580,5.233566,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05240672e+04
8.70000e+03,11.5970,0.00739,0.1700,0.03127,7605.073864,5.235008,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05211691e+04
8.80000e+03,11.6158,0.00308,0.1703,0.03141,7562.775277,5.236438,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05182954e+04
8.90000e+03,11.5891,0.00599,0.1703,0.03156,7568.477058,5.237857,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05154457e+04
9.00000e+03,11.6055,0.00821,0.1701,0.03041,7589.475280,5.239265,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05126195e+04
9.10000e+03,11.6568,0.00561,0.1703,0.03106,7557.848958,5.240663,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05098165e+04
9.20000e+03,11.6344,0.00594,0.1702,0.03115,7564.311973,5.242049,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05070363e+04
9.30000e+03,11.6965,0.00407,0.1703,0.03018,7552.609536,5.243426,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05042784e+04
9.40000e+03,11.6584,0.00840,0.1702,0.03107,7566.698354,5.244792,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.05015426e+04
9.50000e+03,11.6992,0.00158,0.1703,0.03048,7554.329865,5.246148,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.04988284e+04
9.60000e+03,11.7315,0.00638,0.1701,0.03101,7579.613176,5.247493,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.04961354e+04
9.70000e+03,11.7248,0.00409,0.1701,0.03072,7572.675899,5.248830,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.04934634e+04
9.80000e+03,11.7266,0.00758,0.1702,0.03112,7552.919521,5.250156,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.04908120e+04
9.90000e+03,11.8054,0.00267,0.1700,0.03058,7576.922410,5.251473,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.04881807e+04
1.00000e+04,11.7714,0.00722,0.1701,0.03146,7564.084862,5.252781,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.04855693e+04
2.00000e+04,13.0531,0.00132,0.1703,0.03030,7371.689680,5.353187,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.02888994e+04
3.00000e+04,13.8298,0.01000,0.1703,0.03166,7262.303999,5.423114,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.01562315e+04
4.00000e+04,14.4505,0.00480,0.1700,0.03093,7208.623880,5.479319,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.00520530e+04
5.00000e+04,14.7822,0.01279,0.1702,0.03081,7116.394519,5.527574,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.96429912e+03
6.00000e+04,15.1867,0.00860,0.1701,0.03116,7062.048615,5.570605,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.88732826e+03
7.00000e+04,15.4940,0.02077,0.1702,0.03078,6997.836866,5.609929,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.81802169e+03
8.00000e+04,15.9132,0.01030,0.1701,0.03156,6957.968450,5.646481,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.75446528e+03
9.00000e+04,16.0840,0.01734,0.1702,0.03068,6895.557587,5.680882,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.69539619e+03
1.00000e+05,16.3920,0.02151,0.1701,0.03049,6863.260340,5.713565,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.63993564e+03
1.10000e+05,16.5471,0.01992,0.1702,0.03117,6811.039216,5.744846,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.58744650e+03
1.20000e+05,16.9209,0.00412,0.1701,0.03132,6782.193029,5.774960,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.53745155e+03
1.30000e+05,17.1635,0.00713,0.1703,0.03161,6719.272622,5.804090,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.48958380e+03
1.40000e+05,17.2412,0.01366,0.1701,0.03112,6704.215976,5.832380,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.44355463e+03
1.50000e+05,17.3539,0.02588,0.1701,0.03136,6665.621002,5.859945,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.39913284e+03
1.60000e+05,17.7825,0.02888,0.1700,0.03031,6639.767464,5.886879,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.35613029e+03
1.70000e+05,17.6031,0.02737,0.1702,0.03119,6590.182370,5.913258,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.31439168e+03
1.80000e+05,17.7655,0.02449,0.1702,0.03065,6555.862434,5.939149,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.27378726e+03
1.90000e+05,18.2801,0.01449,0.1703,0.03166,6512.901323,5.964605,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.23420756e+03
2.00000e+05,18.0533,0.02394,0.1702,0.03062,6492.240222,5.989674,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.19555922e+03
2.10000e+05,18.2415,0.02143,0.1702,0.03063,6459.720592,6.014395,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.15776200e+03
2.20000e+05,18.6422,0.02930,0.1703,0.03166,6423.282877,6.038804,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.12074660e+03
2.30000e+05,18.3720,0.02945,0.1702,0.03121,6408.935532,6.062930,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.08445335e+03
2.40000e+05,18.4896,0.02788,0.1701,0.03073,6383.410478,6.086798,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.04883064e+03
2.50000e+05,18.6550,0.01538,0.1701,0.03086,6358.624112,6.110431,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.01383310e+03
2.60000e+05,19.1407,0.01437,0.1703,0.03036,6312.132167,6.133848,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.97942012e+03
2.70000e+05,18.8282,0.03266,0.1701,0.03068,6303.840275,6.157069,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.94555499e+03
2.80000e+05,18.8832,0.03403,0.1702,0.03112,6275.176051,6.180110,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.91220436e+03
2.90000e+05,19.4554,0.01704,0.1701,0.03167,6259.559070,6.202985,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.87933791e+03
3.00000e+05,19.0412,0.03135,0.1702,0.03073,6222.408046,6.225709,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.84692813e+03
3.10000e+05,19.6768,0.02187,0.1703,0.03102,6182.835047,6.248294,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.81495003e+03
3.20000e+05,19.2834,0.01888,0.1701,0.03128,6174.229294,6.270752,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.78338076e+03
3.30000e+05,19.8774,0.03824,0.1703,0.03165,6133.193043,6.293093,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.75219952e+03
3.40000e+05,19.7418,0.01067,0.1701,0.03143,6132.808509,6.315326,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.72138726e+03
3.50000e+05,20.0188,0.01514,0.1703,0.03084,6086.438409,6.337460,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.69092645e+03
3.60000e+05,20.1214,0.01167,0.1703,0.03151,6063.026446,6.359504,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.66080107e+03
3.70000e+05,19.7308,0.01650,0.1702,0.03067,6047.685673,6.381465,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.63099627e+03
3.80000e+05,20.1247,0.03521,0.1701,0.03085,6040.604307,6.403350,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.60149838e+03
3.90000e+05,20.3521,0.01367,0.1703,0.03104,5994.532666,6.425164,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.57229477e+03
4.00000e+05,20.2209,0.00787,0.1703,0.03045,5974.745396,6.446915,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.54337367e+03
4.10000e+05,19.9643,0.04491,0.1702,0.03129,5956.942432,6.468607,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.51472420e+03
4.20000e+05,20.3706,0.03691,0.1703,0.03073,5929.919109,6.490245,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.48633622e+03
4.30000e+05,20.6036,0.02618,0.1703,0.03107,5906.638048,6.511835,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.45820025e+03
4.40000e+05,20.1912,0.03110,0.1702,0.03137,5891.187432,6.533380,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.43030749e+03
4.50000e+05,20.1736,0.04327,0.1702,0.03103,5875.291798,6.554885,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.40264963e+03
4.60000e+05,20.6821,0.01243,0.1701,0.03058,5864.689364,6.576354,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.37521895e+03
4.70000e+05,20.8581,0.03405,0.1703,0.03060,5822.034199,6.597790,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.34800820e+03
4.80000e+05,20.3446,0.04533,0.1702,0.03122,5810.423329,6.619196,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.32101051e+03
4.90000e+05,20.8729,0.04592,0.1701,0.03069,5802.730152,6.640577,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.29421949e+03
5.00000e+05,20.6652,0.02303,0.1701,0.03138,5778.235595,6.661934,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.26762905e+03
5.10000e+05,20.6807,0.03042,0.1701,0.03057,5758.104153,6.683272,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.24123349e+03
5.20000e+05,21.0370,0.01328,0.1701,0.03113,5741.177176,6.704591,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.21502742e+03
5.30000e+05,21.2106,0.03700,0.1703,0.03080,5700.614492,6.725896,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.18900569e+03
5.40000e+05,20.8079,0.02980,0.1701,0.03100,5697.201902,6.747188,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.16316351e+03
5.50000e+05,21.3368,0.03701,0.1703,0.03041,5661.145929,6.768470,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.13749624e+03
5.60000e+05,21.4733,0.01836,0.1703,0.03162,5641.132167,6.789744,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.11199956e+03
5.70000e+05,20.8984,0.04582,0.1702,0.03065,5629.534330,6.811012,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.08666933e+03
5.80000e+05,20.8227,0.05094,0.1702,0.03125,5613.608441,6.832276,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.06150158e+03
5.90000e+05,21.6610,0.01680,0.1703,0.03117,5583.690046,6.853537,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.03649261e+03
6.00000e+05,21.2256,0.03372,0.1702,0.03087,5569.432112,6.874799,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,8.01163880e+03
