#t (yr), a_m (R_p), e_m, a_p (AU), e_p, alpha (''/yr), spin_period (hr), obliquity (deg), phase (deg), i_p (deg), Omg_p (deg),S_x,S_y,S_z
0.00000e+00,8.6519,0.00000,0.1700,0.03000,8035.440960,5.000000,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.10156805e+04
1.00000e+02,8.7346,0.00101,0.1703,0.03167,7973.471324,5.006624,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.10011071e+04
2.00000e+02,8.7951,0.00155,0.1702,0.03055,7977.357754,5.012923,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09872834e+04
3.00000e+02,8.8747,0.00196,0.1701,0.03113,7988.434890,5.018929,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09741338e+04
4.00000e+02,8.9601,0.00231,0.1703,0.03002,7940.741136,5.024672,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09615926e+04
5.00000e+02,9.0295,0.00167,0.1700,0.03170,7975.812332,5.030173,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09496036e+04
6.00000e+02,9.0954,0.00112,0.1703,0.03076,7920.997653,5.035455,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09381174e+04
7.00000e+02,9.1570,0.00076,0.1700,0.03030,7954.977703,5.040536,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09270915e+04
8.00000e+02,9.2066,0.00189,0.1701,0.03038,7938.633292,5.045432,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09164882e+04
9.00000e+02,9.2604,0.00169,0.1702,0.03101,7906.377223,5.050157,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09062744e+04
1.00000e+03,9.3158,0.00442,0.1701,0.03140,7912.590343,5.054724,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08964209e+04
1.10000e+03,9.3917,0.00178,0.1703,0.03030,7878.284244,5.059144,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08869016e+04
1.20000e+03,9.4252,0.00431,0.1701,0.03115,7896.080409,5.063427,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08776930e+04
1.30000e+03,9.4984,0.00068,0.1700,0.03181,7903.430534,5.067582,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08687744e+04
1.40000e+03,9.5536,0.00146,0.1700,0.03118,7897.971623,5.071617,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08601269e+04
1.50000e+03,9.5770,0.00481,0.1701,0.03116,7876.086666,5.075540,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08517333e+04
1.60000e+03,9.6414,0.00098,0.1700,0.03031,7879.827346,5.079357,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08435783e+04
1.70000e+03,9.7000,0.00228,0.1703,0.03177,7831.363505,5.083074,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08356478e+04
1.80000e+03,9.7395,0.00402,0.1703,0.03132,7826.757867,5.086698,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08279288e+04
1.90000e+03,9.7825,0.00197,0.1700,0.03161,7860.820481,5.090233,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08204097e+04
2.00000e+03,9.8008,0.00473,0.1702,0.03109,7834.603456,5.093683,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08130796e+04
2.10000e+03,9.8432,0.00521,0.1702,0.03067,7826.027366,5.097054,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08059287e+04
2.20000e+03,9.8913,0.00293,0.1701,0.03149,7833.163087,5.100349,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.07989477e+04
2.30000e+03,9.9575,0.00490,0.1700,0.03057,7839.274557,5.103572,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.07921282e+04
2.40000e+03,9.9620,0.00280,0.1701,0.03065,7816.579297,5.106726,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.07854623e+04
2.50000e+03,10.0052,0.00322,0.1701,0.03084,7814.627181,5.109815,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.07789429e+04
2.60000e+03,10.0687,0.00371,0.1700,0.03060,7820.628469,5.112841,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.07725630e+04
2.70000e+03,10.0755,0.00309,0.1702,0.03066,7797.692121,5.115807,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.07663165e+04
2.80000e+03,10.1146,0.00098,0.1701,0.03137,7795.029183,5.118717,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.07601974e+04
2.90000e+03,10.1821,0.00129,0.1700,0.03183,7805.293833,5.121571,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.07542003e+04
3.00000e+03,10.1990,0.00042,0.1701,0.03097,7794.451997,5.124373,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.07483200e+04
3.10000e+03,10.2139,0.00486,0.1702,0.03140,7772.853369,5.127125,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.07425517e+04
3.20000e+03,10.2499,0.00413,0.1701,0.03057,7776.097287,5.129828,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.07368908e+04
3.30000e+03,10.3216,0.00353,0.1700,0.03018,7786.454562,5.132485,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.07313332e+04
3.40000e+03,10.3389,0.00176,0.1700,0.03048,7777.552589,5.135096,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.07258749e+04
3.50000e+03,10.3600,0.00411,0.1703,0.03047,7742.892416,5.137665,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.07205120e+04
3.60000e+03,10.3779,0.00224,0.1702,0.03120,7751.223391,5.140193,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.07152410e+04
3.70000e+03,10.4105,0.00314,0.1701,0.03130,7750.560326,5.142680,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.07100585e+04
3.80000e+03,10.4783,0.00347,0.1703,0.03051,7721.135146,5.145129,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.07049614e+04
3.90000e+03,10.4758,0.00112,0.1703,0.03146,7727.064937,5.147540,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06999467e+04
4.00000e+03,10.4986,0.00396,0.1701,0.03096,7739.700492,5.149915,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06950116e+04
4.10000e+03,10.5569,0.00048,0.1703,0.03178,7710.799256,5.152256,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06901532e+04
4.20000e+03,10.5687,0.00385,0.1701,0.03105,7737.387208,5.154562,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06853692e+04
4.30000e+03,10.5822,0.00178,0.1702,0.03060,7723.194460,5.156837,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06806569e+04
4.40000e+03,10.6464,0.00428,0.1700,0.03178,7735.997087,5.159079,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06760142e+04
4.50000e+03,10.6765,0.00009,0.1700,0.03185,7732.687155,5.161291,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06714388e+04
4.60000e+03,10.6941,0.00089,0.1703,0.03037,7692.666295,5.163473,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06669286e+04
4.70000e+03,10.7343,0.00564,0.1703,0.03104,7685.086547,5.165627,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06624816e+04
4.80000e+03,10.7136,0.00706,0.1702,0.03076,7701.496448,5.167753,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06580960e+04
4.90000e+03,10.7883,0.00614,0.1700,0.03011,7719.251116,5.169851,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06537698e+04
5.00000e+03,10.7798,0.00291,0.1701,0.03043,7706.265715,5.171923,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06495013e+04
5.10000e+03,10.7971,0.00500,0.1701,0.03143,7696.885967,5.173970,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06452889e+04
5.20000e+03,10.8500,0.00136,0.1703,0.03053,7670.282896,5.175991,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06411310e+04
5.30000e+03,10.8660,0.00401,0.1701,0.03164,7698.011944,5.177989,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06370260e+04
5.40000e+03,10.9046,0.00293,0.1700,0.03138,7698.792006,5.179963,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06329725e+04
5.50000e+03,10.9393,0.00596,0.1703,0.03108,7656.104551,5.181914,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06289691e+04
5.60000e+03,10.9110,0.00691,0.1702,0.03122,7674.760880,5.183843,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06250144e+04
5.70000e+03,10.9793,0.00072,0.1703,0.03179,7651.037551,5.185750,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06211072e+04
5.80000e+03,10.9711,0.00504,0.1701,0.03099,7676.995644,5.187635,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06172462e+04
5.90000e+03,10.9916,0.00228,0.1702,0.03058,7655.393938,5.189501,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06134303e+04
6.00000e+03,11.0114,0.00510,0.1702,0.03052,7654.250227,5.191346,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.06096582e+04
