#t (yr), a_m (R_p), e_m, a_p (AU), e_p, alpha (''/yr), spin_period (hr), obliquity (deg), phase (deg), i_p (deg), Omg_p (deg),S_x,S_y,S_z
0.00000e+00,8.6519,0.00000,0.1700,0.03000,8035.386174,5.000000,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.10156805e+04
1.00000e+02,8.7554,0.00501,0.1701,0.03192,7996.796242,5.014065,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09847792e+04
2.00000e+02,8.8746,0.00644,0.1701,0.03249,7974.015247,5.027110,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09562757e+04
3.00000e+02,8.9556,0.00570,0.1703,0.03203,7919.515698,5.039283,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09298084e+04
4.00000e+02,9.1007,0.00234,0.1705,0.03271,7871.362026,5.050705,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09050921e+04
5.00000e+02,9.1512,0.00732,0.1703,0.03077,7877.097999,5.061470,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08818983e+04
6.00000e+02,9.2394,0.00795,0.1702,0.03140,7865.144968,5.071657,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08600406e+04
7.00000e+02,9.3742,0.00432,0.1700,0.03136,7879.320290,5.081331,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08393654e+04
8.00000e+02,9.4503,0.00600,0.1705,0.03262,7799.871975,5.090546,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08197443e+04
9.00000e+02,9.4890,0.00764,0.1703,0.03080,7800.919670,5.099347,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08010692e+04
1.00000e+04,12.4989,0.00946,0.1700,0.03027,7267.919745,5.440743,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.01233239e+04
2.00000e+04,13.7579,0.02141,0.1701,0.03074,7017.066566,5.606250,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.82446476e+03
3.00000e+04,14.4619,0.01994,0.1701,0.03127,6844.543498,5.724584,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.62138031e+03
4.00000e+04,15.0398,0.01561,0.1704,0.03202,6686.499213,5.821736,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.46082101e+03
5.00000e+04,15.8165,0.03813,0.1701,0.03126,6613.657481,5.906693,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,9.32474465e+03
